Season,Episode,Year,Episode Title,"Crime (Actual crime/crimes committed. e.g. rape, murder)",Number of victims (enter a number),Victim Gender,Victim Race,Number of criminals,Criminal Gender,Criminal Race,Notes
9,2,2010,Loyalty: Part 2,Murder,2,"1 male, 1 female",White,2,"1 male, 1 female",Black,
9,3,2010,Broad Channel,Murder,2,Male,White,1,Male,White,
9,4,2010,Delicate,Murder,1,Female,White,1,Female,White,
9,5,2010,Gods & Insects,Murder,1,Male,White,1,Male,White,
9,6,2010,Abel & Willing,"Kidnapping, murder",2,"1 male, 1 female",White,1,Male,White,
9,7,2010,Love Sick,"Rape, murder",2,Female,White,2,"1 male, 1 female",White,
9,8,2010,Love on Ice,Murder,1,Male,White,1,Female,White,
9,9,2010,Traffic,Murder,1,Male,White,1,Female,White,
9,10,2010,Disciple,Murder,3,"1 male, 2 female",White,1,Male,White,
9,11,2010,Lost Children of the Blood,Murder,1,Female,White,1,Male,White,
9,12,2010,True Legacy,Murder,1,Male,White,1,Female,Hispanic,
9,13,2010,The Mobster Will See You Now,"Murder, assault",2,Male,White,2,Male,White,
9,14,2010,Palimpsest,Murder,2,Male,White,1,Male,White,
9,15,2010,Inhumane Society,Murder,2,Male,Black,1,Male,White,
9,16,2010,Three-in-One,"Murder, kidnapping",2,Female,White,1,Male,White,
10,1,2011,Rispetto,Murder,2,"1 female, 1 male",White,1,Male,White,
10,2,2011,The Consoler,Murder,1,Female,Hispanic,1,Male,White,
10,3,2011,Boots on the Ground,Murder,2,"1 male, 1 female",White,2,"1 male, 1 female",White,
10,4,2011,The Last Street in Manhattan,Murder,1,Male,White,1,Female,White,
10,5,2011,Trophy Wine,Murder,1,Male,White,1,Female,White,
10,6,2011,Cadaver,Murder,1,Male,White,1,Female,Asian,
10,7,2011,Icarus,Murder,1,Male,White,2,Male,White,
10,8,2011,To the Boy in the Blue Knit Cap,Murder,2,Male,White,2,"1 male, 1 female",White,
