season,episode,year,title,crime,n_victims,v_sex,v_race,n_criminals,c_sex,c_race,Data in Google forms,notes
12,5,2010,Wet,Murder,1,Female,White,1,Female,White,,
12,6,2010,Branded,Rape,4,"1 female, 3 male",White,4,"3 male, 1 female",White,,
12,7,2010,Trophy,"Rape, murder",2,"1 female, 1 male",White,2,"1 male, 1 female",White,,
12,8,2010,Penetration,"Rape, murder",2,Female,White,1,Male,White,,
12,9,2010,Gray,"Rape, murder",2,Female,White,1,Male,Black,,
12,10,2010,Rescue,"Murder, rape",3,"2 female, 1 male",White,3,"2 female, 1 male",White,,
12,11,2011,Pop,"Murder, assault",4,"3 male, 1 female",White,2,Male,White,,
12,12,2011,Possessed,"Kidnapping, rape, assault",6,"3 female, 3 male",White,2,Male,White,,
12,13,2011,Mask,"Rape, assault",3,Female,White,1,Male,White,,
12,14,2011,Dirty,Murder,3,"2 female, 1 male","1 white, 1 black, 1 hispanic",5,"3 female, 2 male","1 white, 1 black, 3 hispanic",,White criminal is from the Middle East or Middle Eastern descent
12,15,2011,Flight,"Rape, accessory to rape",8,Female,White,1,"1 male, 1 female",White,,
12,16,2011,Spectacle,Kidnapping,1,Male,White,1,Female,White,,
12,17,2011,Pursuit,"Murder, rape",3,Female,White,1,Male,White,,
12,18,2011,Bully,Murder,1,Female,White,1,Male,White,,
12,19,2011,Bombshell,"Murder, assault",2,Male,White,2,Male,White,,
12,20,2011,Totem,"Murder, sexual abuse",3,Female,White,2,Female,White,,
12,21,2011,Reparations,Perjury (false rape accusation),1,Male,Black,1,Female,White,,
12,22,2011,Bang,"Kidnapping, murder",2,Male,White,2,"1 male, 1 female",White,,
12,23,2011,Delinquent,"Rape, murder",9,"8 female, 1 male",White,2,"1 male, 1 female",White,,
12,24,2011,Smoked,"Murder, accessory to murder",2,"1 female, 1 male",White,4,"3 male, 1 female",White,,
13,1,2011,Scorched Earth,Rape,1,Female,Black,1,Male,White,,
13,2,2011,Personal Fouls,"Rape, murder",3,Male,"1 white, 2 black",2,Male,"1 white, 1 black",,
13,3,2011,Blood Brothers,"Rape, murder",2,"1 female, 1 male","1 hispanic, 1 white",2,Male,"1 white, 1 hispanic",,
13,4,2011,Double Strands,Rape,1,Female,White,1,Male,White,,
13,5,2011,Missing Pieces,No crime,0,-,-,0,-,-,,Alleged kidnapping victim was a baby that had died of natural causes long ago
13,6,2011,True Believers,Rape,1,Female,White,1,Male,Black,,
13,7,2011,Russian Brides,"Kidnapping, murder",6,"1 male, 5 female",White,2,"1 female, 1 male",White,,
13,8,2011,Educated Guess,Rape,1,Female,White,1,Male,White,,
13,9,2011,Lost Traveller,Murder,1,Male,White,2,Female,White,,
13,10,2011,Spiraling Down,Forced prostitution,1,Female,White,1,Male,Black,,
13,11,2012,Theatre Tricks,Rape,1,Female,White,1,"1 male, 1 female",White,,
13,12,2012,Official Story,"Rape, murder",3,"2 male, 1 female",White,6,Male,White,,
13,13,2012,Father's Shadow,"Rape, hostage situation",6,"5 female, 1 male",White,2,Male,White,,
13,14,2012,Home Invasions,Murder,2,"1 female, 1 male",White,3,"2 female, 1 male","1 white, 2 hispanic",,
13,15,2012,Hunting Ground,"Kidnapping, rape, murder",15,Female,Unknown,1,Male,White,,Serial killer made several victims over the years. Only 6 are shown to be white
13,16,2012,Child's Welfare,"Kidnapping, rape",1,Female,White,2,"1 male, 1 female",White,,
13,17,2012,Justice Denied,Rape,2,Female,White,1,Male,Hispanic,,
13,18,2012,Valentine's Day,No violent crime,0,-,-,1,Female,White,,Woman faked her own kidnapping and rape
13,19,2012,Street Revenge,"Rape, assault",6,Female,White,1,Male,White,,
13,20,2012,Father Dearest,Rape,4,Female,White,1,Male,White,,
13,21,2012,Learning Curve,"Assault, rape, murder",3,"2 male, 1 female","1 hispanic, 2 white",5,Male,"3 hispanic, 2 white",,
13,22,2012,Strange Beauty,"Murder, kidnapping, amputation",6,Female,White,1,Male,White,,
13,23,2012,Rhodium Nights,Murder,2,"1 female, 1 male",White,2,"1 female, 1 unknown","1 white, 1 unknown",,
14,01--02,2012,Lost Reputation / Above Suspicion,Murder,3,Female,"2 white, 1 hispanic",2,"1 female, 1 male",White,,
14,3,2012,Twenty-Five Acts,Rape,1,Female,White,1,Male,White,,
14,4,2012,Acceptable Loss,Forced prostitution,5,Female,Unknown,2,Male,White,,"Forced prostitution scheme has several victims, unnamed. At least 2 are white and 1 is hispanic"
14,5,2012,Manhattan Vigil,"Murder, kidnapping",2,Male,"1 hispanic, 1 white",1,Male,White,,
14,6,2012,Friending Emily,Kidnapping,1,Female,White,1,Male,White,,
14,7,2012,Vanity's Bonfire,"Kidnapping, murder",2,Female,White,2,Female,White,,
14,8,2012,Lessons Learned,Sexual abuse,24,Male,White,Unknown,Male,White,,Episode is about a school that had multiple sex abuse cases; identity and number of perpetrators is kept secret
14,9,2012,Dreams Deferred,Murder,11,"7 male, 4 female","8 white, 2 black, 1 hispanic",1,Male,White,,
14,10,2013,Presumed Guilty,"Assault, rape, murder",4,"3 male, 1 female","1 white, 1 black, 2 hispanic",4,"3 male, 1 female",Hispanic,,
14,11,2013,Beautiful Frame,"Rape, murder",2,"1 female, 1 male",White,2,Male,White,,
14,12,2013,Criminal Hatred,"Assault, rape, murder",2,Male,White,1,Male,White,,
14,13,2013,Monster's Legacy,"Assault, sexual abuse",13,Male,Unknown,2,Male,White,,Serial abuser made several victims over the years. Only 9 are shown to be white
14,14,2013,Secrets Exhumed,Murder,1,Female,White,1,Female,White,,
14,15,2013,Deadly Ambition,"Rape, murder",4,Female,White,2,"1 male, 1 female","1 black, 1 white",,
14,16,2013,Funny Valentine,"Assault, murder",2,"1 female, 1 male",Black,1,Male,Black,,
14,17,2013,Undercover Blue,Filing a false police report,1,Male,White,2,"1 female, 1 male",White,,
14,18,2013,Legitimate Rape,Rape,1,Female,White,1,Male,White,,
14,19,2013,Born Psychopath,"Assault, hostage situation",3,"2 female, 2 male","2 white, 1 hispanic",1,Male,White,,
14,20,2013,Girl Dishonored,Rape,6,Female,White,4,Male,White,,
14,21,2013,Traumatic Wound,Rape,1,Female,White,3,"2 male, 1 female",White,,
14,22,2013,Poisoned Motive,"Attempted murder, murder",5,"3 female, 2 male","2 white, 1 hispanic, 1 unknown, 1 black",1,Female,Hispanic,,
14,23,2013,Brief Interlude,Murder,1,Female,White,1,Male,White,,
