Season,Episode,Episode Title,"Crime (Actual crime/crimes committed. e.g. rape, murder)",Number of victims (enter a number),Victim Gender,Victim Race,Number of criminals,Criminal Gender,Criminal Race,Notes
7,15,Kissinger,Murder,3,"1 male, 2 female",White,1,Female,White,
7,16,Reunion,Murder,1,Female,White,1,Female,White,
7,17,Vanishing Act,Murder,1,Male,White,1,Male,White,
7,18,Ten Count,Murder,2,Male,White,2,Male,White,
7,19,Legacy,Murder,1,Male,White,1,Male,White,
7,20,Neighborhood Watch,Murder,1,Male,White,1,Male,White,
7,21,Last Rites,Murder,2,"1 male, 1 female",White,1,Male,White,
7,22,Frame,Murder,2,"1 male, 1 female",White,2,"1 female, 1 male",White,
8,1,Playing Dead,Murder,1,Male,White,2,"1 female, 1 male",White,
8,2,Rock Star,Murder,2,Male,White,2,Male,White,
8,3,Identity Crisis,Murder,1,Male,White,1,Male,White,
8,4,In Treatment,Murder,1,Male,White,1,Male,White,
8,5,Faithfully,Murder,1,Male,White,2,"1 male, 1 female",White,
8,6,Astoria Helen,"Murder, kidnapping",3,Male,White,1,Male,White,
8,7,Folie a Deux,No violent crime,0,-,-,0,-,-,
8,8,The Glory That Was...,Murder,2,"1 female, 1 male",White,1,Male,White,
8,9,Family Values,"Murder, kidnapping",6,"4 female, 2 male",White,1,Male,white,
8,10,Salome in Manhattan,Murder,1,Female,White,1,Male,white,
8,11,Lady's Man,Murder,1,Male,White,1,Male,White,
8,12,Passion,Murder,2,"1 female, 1 male",White,1,Female,White,
8,13,All In,Murder,1,Male,White,1,Male,White,
8,14,Major Case,Murder,1,Female,White,1,Male,White,
8,15,Alpha Dog,Murder,2,"1 male, 1 female",White,1,Male,white,
8,16,Revolution,Murder,3,"2 male, 1 female","2 white, 1 black",3,"2 male, 1 female","2 white, 1 black",
9,1,Loyalty: Part 1,Murder,11,"9 male, 2 female","7 black, 3 white, 1 asian",9,Male,"7 white, 1 asian, 1 black",
9,2,Loyalty: Part 2,Murder,2,"1 male, 1 female",White,2,"1 male, 1 female",Black,
9,3,Broad Channel,Murder,2,Male,White,1,Male,White,
9,4,Delicate,Murder,1,Female,White,1,Female,White,
9,5,Gods & Insects,Murder,1,Male,White,1,Male,White,
9,6,Abel & Willing,"Kidnapping, murder",2,"1 male, 1 female",White,1,Male,White,
9,7,Love Sick,"Rape, murder",2,Female,White,2,"1 male, 1 female",White,
9,8,Love on Ice,Murder,1,Male,White,1,Female,White,
9,9,Traffic,Murder,1,Male,White,1,Female,White,
9,10,Disciple,Murder,3,"1 male, 2 female",White,1,Male,White,
9,11,Lost Children of the Blood,Murder,1,Female,White,1,Male,White,
9,12,True Legacy,Murder,1,Male,White,1,Female,Hispanic,
9,13,The Mobster Will See You Now,"Murder, assault",2,Male,White,2,Male,White,
9,14,Palimpsest,Murder,2,Male,White,1,Male,White,
9,15,Inhumane Society,Murder,2,Male,Black,1,Male,White,
9,16,Three-in-One,"Murder, kidnapping",2,Female,White,1,Male,White,
10,1,Rispetto,Murder,2,"1 female, 1 male",White,1,Male,White,
10,2,The Consoler,Murder,1,Female,Hispanic,1,Male,White,
10,3,Boots on the Ground,Murder,2,"1 male, 1 female",White,2,"1 male, 1 female",White,
10,4,The Last Street in Manhattan,Murder,1,Male,White,1,Female,White,
10,5,Trophy Wine,Murder,1,Male,White,1,Female,White,
10,6,Cadaver,Murder,1,Male,White,1,Female,Asian,
10,7,Icarus,Murder,1,Male,White,2,Male,White,
10,8,To the Boy in the Blue Knit Cap,Murder,2,Male,White,2,"1 male, 1 female",White,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
